,Disease Name,DOID,UBERON,Exact Synonyms
797,obsolete paramyloidosis,0050761,,[]
798,adenylosuccinase lyase deficiency,0050762,,[]
799,ARC syndrome,0050763,,"['arthrogryposis, renal dysfunction, and cholestasis', 'arthrogryposis, renal dysfunction and cholestasis (arc) syndrome', 'arthrogryposis-renal dysfunction-cholestasis']"
800,Armfield syndrome,0050764,,"['armfield x-linked mental retardation syndrome', 'mrxsa', 'x-linked intellectual disability, armfield type', 'mental retardation syndrome, x-linked, armfield type', 'syndromic x-linked mental retardation armfield type']"
801,neuroacanthocytosis,0050765,,[]
802,choreaacanthocytosis,0050766,,"['levine-critchley syndrome', 'choreo-acanthocytosis']"
803,midface dysplasia,0050767,,[]
804,"mitochondrial complex V (ATP synthase) deficiency, nuclear type 1",0050768,,['mc5dn1']
805,N syndrome,0050769,,['nsx']
806,polycystic liver disease,0050770,,"['congenital cystic liver disease', 'congenital hepatic cyst', 'fibrocystic liver disease']"
807,pheochromocytoma,0050771,,['phaeochromocytoma']
808,spastic ataxia 1,0050772,,[]
809,paraganglioma,0050773,,"['chemodectoma', 'glomus body tumor']"
810,rapadilino syndrome,0050774,,[]
811,schneckenbecken dysplasia,0050775,,[]
812,non-syndromic X-linked intellectual disability,0050776,,['non-specific x-linked mental retardation']
813,Joubert syndrome,0050777,0000955,['jbts']
814,Meckel syndrome,0050778,,['meckel-gruber syndrome']
815,hydrolethalus syndrome,0050779,,['salonen-herva-norio syndrome']
816,obsolete Opitz-GBBB syndrome,0050780,,[]
817,Ogden syndrome,0050781,,"['n-alpha-acetyltransferase', 'n-terminal acetyltransferase deficiency', 'ogdns', 'x-linked malformation and infantile lethality syndrome']"
818,Zollinger-Ellison syndrome,0050782,,[]
819,secondary progressive multiple sclerosis,0050783,,"['spms', 'secondary-progressive ms']"
820,primary progressive multiple sclerosis,0050784,,"['ppms', 'primary-progressive ms']"
821,progressive relapsing multiple sclerosis,0050785,,"['prms', 'progressive-relapsing ms']"
822,iridogoniodysgenesis syndrome,0050786,,"['igds', 'irid 1', 'irid 2', 'iridogoniodysgenesis type 1', 'iridogoniodysgenesis type 2']"
823,juvenile polyposis syndrome,0050787,,[]
824,proximal symphalangism,0050788,0001474,"[""cushing's symphalangism""]"
825,tarsal-carpal coalition syndrome,0050789,,[]
826,fibular hypoplasia and complex brachydactyly,0050790,0001474,"['du pan syndrome', 'acromesomelic dysplasia-2b']"
827,persistent Mullerian duct syndrome,0050791,0000991,['persistent muellerian duct syndrome']
828,multiple cutaneous and mucosal venous malformations,0050792,0000014,"['vmcm', 'mucocutaneous venous malformations']"
829,short QT syndrome,0050793,,[]
830,multiple synostoses syndrome,0050794,,[]
831,cone dystrophy,0050795,,['retinal cone dystrophy']
832,achalasia microcephaly syndrome,0050796,,"['achalasia-microcephaly syndrome', 'achalasia microcephaly']"
833,peroxisomal acyl-CoA oxidase deficiency,0050797,,['peroxisomal acyl-coenzyme a oxidase']
834,cerebral creatine deficiency syndrome,0050798,0001893,[]
835,guanidinoacetate methyltransferase deficiency,0050799,,"['cerebral creatine deficiency syndrome 2', 'gamt deficiency']"
836,creatine transporter deficiency,0050800,,"['cerebral creatine deficiency syndrome 1', 'slc6a8 deficiency']"
837,androgenic alopecia,0050801,,"['alopecia androgenetica, male pattern baldness', 'androgenetic alopecia']"
838,Ehlers-Danlos syndrome spondylodysplastic type 2,0050802,,"['ehlers-danlos syndrome, progeroid type, 2', 'ehlers-danlos syndrome progeroid type']"
839,glioblastoma classical subtype,0050803,,[]
840,glioblastoma proneural subtype,0050804,,[]
841,glioblastoma mesenchymal subtype,0050805,,[]
842,glioblastoma neural subtype,0050806,,[]
843,Kahrizi syndrome,0050807,,"['khrz', 'intellectual disability, kahrizi type', 'intellectual disability-cataract-coloboma-kyphosis syndrome']"
844,mucopolysaccharidosis IX,0050809,,[]
845,biotin deficiency,0050810,,['b7 deficiency']
846,congenital adrenal hyperplasia,0050811,,"['adrenal hyperplasia 1', 'congenital lipoid adrenal hyperplasia', 'lipoid cah']"
847,"spondyloepimetaphyseal dysplasia, Pakistani type",0050812,,['spondyloepimetaphyseal dysplasia pakistani type']
848,spondyloepiphyseal dysplasia with congenital joint dislocations,0050813,0000982,"['chondrodysplasia with multiple dislocations', 'chst3-related skeletal dysplasia', 'humero-spinal dysostosis with congenital heart disease', 'kozlowski celermajer tink syndrome', 'omani type', 'spondyloepiphyseal dysplasia', 'humero-spinal dysostosis', 'humerospinal dysostosis']"
849,temtamy preaxial brachydactyly syndrome,0050814,,"['preaxial brachydactyly syndrome, temtamy type']"
850,obsolete eye adnexa disease,0050815,,[]
851,urofacial syndrome,0050816,,"['ochoa syndrome', 'hydronephrosis with peculiar facial expression']"
852,Stargardt disease,0050817,,['stargardt disease 1']
853,transcobalamin II deficiency,0050818,,['tcn2 deficiency']
854,obsolete Matthew-Wood syndrome,0050819,,[]
855,atrioventricular block,0050820,,['av block']
856,first-degree atrioventricular block,0050821,,[]
857,second-degree atrioventricular block,0050822,,['second-degree heart block']
858,third-degree atrioventricular block,0050823,,['complete av block']
859,sinoatrial node disease,0050824,0002351,"['sa node', 'sinuatrial node']"
860,endocardium disease,0050825,0002165,[]
861,tricuspid valve disease,0050826,0002134,"['rh. tricuspid valve disease', 'rheumatic disease of tricuspid valve', 'tricuspid disease', 'disease of tricuspid valve', 'rheumatic tricuspid valve disease']"
862,rheumatic heart disease,0050827,,['rheumatic carditis']
863,artery disease,0050828,0001637,[]
864,pericardium disease,0050829,0002407,[]
865,peripheral artery disease,0050830,,[]
866,familial encephalopathy with neuroserpin inclusion bodies,0050831,,['fenib']
867,pyrimidine metabolic disorder,0050832,,[]
868,orotic aciduria,0050833,,[]
869,CHARGE syndrome,0050834,,['charge association']
870,generalized dystonia,0050835,,"['familial dystonia', 'fragments of torsion dystonia']"
871,focal dystonia,0050836,0001630,[]
872,multifocal dystonia,0050837,,[]
873,segmental dystonia,0050838,,[]
874,anismus,0050839,,[]
875,cervical dystonia,0050840,,['spasmodic torticollis']
876,focal hand dystonia,0050841,0002398,"[""organic writer's cramp""]"
877,oculogyric crisis,0050842,,[]
878,oromandibular dystonia,0050843,,[]
879,spasmodic dystonia,0050844,,['laryngeal dystonia']
880,cranio-facial dystonia,0050845,,[]
881,hemidystonia,0050846,,[]
882,sleep apnea,0050847,,[]
883,obstructive sleep apnea,0050848,,['obstructive sleep apnea syndrome']
884,periampullary adenoma,0050849,0002530,[]
885,diabetic encephalopathy,0050850,,[]
886,glomerulosclerosis,0050851,,[]
887,limb ischemia,0050852,,[]
888,chronic venous insufficiency,0050853,,[]
889,Muckle-Wells syndrome,0050854,,"['mws', 'neutrophilic urticaria']"
890,renal fibrosis,0050855,,[]
891,oppositional defiant disorder,0050856,,[]
892,Perrault syndrome,0050857,,[]
893,Marshall-Smith syndrome,0050858,,[]
894,hemorrhagic cystitis,0050859,,[]
895,colorectal adenoma,0050860,0002530,[]
896,colorectal adenocarcinoma,0050861,0002530,[]
897,pyometritis,0050862,,[]
898,arteritic anterior ischemic optic neuropathy,0050863,,[]
899,non-arteritic anterior ischemic optic neuropathy,0050864,,"['non-arteritic anterior ischaemic optic neuropathy', 'nonarteritic anterior ischaemic optic neuropathy', 'nonarteritic anterior ischemic optic neuropathy']"
900,tongue squamous cell carcinoma,0050865,0001723,[]
901,oral squamous cell carcinoma,0050866,0000165,['mouth squamous cell carcinoma']
902,obsolete Jensen syndrome,0050867,,['opticoacoustic nerve atrophy with dementia']
903,hepatocellular adenoma,0050868,0002530,[]
904,villous adenoma,0050869,,[]
905,pulmonary adenocarcinoma in situ,0050870,0002530,['bronchioalveolar carcinoma']
906,fibroma,0050871,,[]
907,large cell neuroendocrine carcinoma,0050872,,[]
908,follicular lymphoma,0050873,,[]
909,obsolete small cell neuroendocrine carcinoma of the lung,0050875,,[]
910,Caroli disease,0050876,,[]
911,pancreatic agenesis,0050877,0001264,['partial pancreatic agenesis']
912,obsolete CLONE OF congenital afibrinogenemia,0050878,,"['factor i deficiency', 'fibrinogen deficiency']"
913,fragile X-associated tremor/ataxia syndrome,0050879,,['fxtas syndrome']
914,Koolen de Vries syndrome,0050880,,"['17q21.31 microdeletion syndrome', 'kansl1-related intellectual disability syndrome', 'kdvs', 'koolen-de vries syndrome']"
915,inclusion body myopathy with Paget disease of bone and frontotemporal dementia,0050881,,"['ibmpfd', ""inclusion body myopathy with paget's disease of bone and frontotemporal dementia""]"
916,spinocerebellar ataxia type 5,0050882,,[]
917,infantile cerebellar-retinal degeneration,0050883,,[]
918,triosephosphate isomerase deficiency,0050884,,['triose phosphate-isomerase deficiency']
919,IMAGe syndrome,0050885,,"['intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, genital abnormalities']"
920,Troyer syndrome,0050886,,"['spg20', 'autosomal recessive spastic paraplegia 20', 'autosomal recessive spastic paraplegia troyer type', 'autosomal recessive spastic paraplegia type 20', 'childhood-onset spastic paraparesis with distal muscle wasting', 'hereditary spastic paraplegia 20', 'spastic paraplegia 20', 'spastic paraplegia type 20']"
921,Townes-Brocks syndrome,0050887,,[]
922,syndromic intellectual disability,0050888,,[]
923,non-syndromic intellectual disability,0050889,,[]
924,synucleinopathy,0050890,,"['synucleinopathies', 'alpha synucleinopathies']"
925,adrenal cortical adenoma,0050891,,['adrenocortical adenoma']
926,adrenal gland pheochromocytoma,0050892,,[]
927,gallbladder adenoma,0050893,0002530,[]
928,ameloblastoma,0050894,0003843,[]
929,bone ameloblastoma,0050895,,[]
930,bone squamous cell carcinoma,0050896,0001474,[]
931,bone chondrosarcoma,0050897,,[]
932,phalanx chondroma,0050898,0003221,[]
933,brain stem medulloblastoma,0050899,0002298,[]
934,sacrum chordoma,0050900,,[]
935,corpus callosum oligodendroglioma,0050901,0002336,[]
936,medulloblastoma,0050902,,"['cns pnet', 'cpnet', 'brain medulloblastoma', 'infratentorial primitive neuroectodermal tumor', 'localized primitive neuroectodermal tumor']"
937,parietal lobe ependymoma,0050903,,[]
938,salivary gland carcinoma,0050904,0001044,[]
939,inflammatory myofibroblastic tumor,0050905,,[]
940,conjunctival nevus,0050906,0001811,[]
941,mixed extragonadal germ cell cancer,0050907,,[]
942,myelodysplastic syndrome,0050908,,[]
943,MALT lymphoma,0050909,,['mucosa-associated lymphoid tissue lymphoma']
944,cecum adenoma,0050910,0002530,['caecum adenoma']
945,appendix carcinoid tumor,0050911,,['appendix carcinoid endocrine tumour']
946,colon adenoma,0050912,0002530,[]
947,large intestine adenocarcinoma,0050913,0002530,[]
948,large intestine adenoma,0050914,0002530,[]
949,rectum adenoma,0050915,0002530,[]
950,bronchus mucoepidermoid carcinoma,0050916,0002185,[]
951,lung combined type small cell adenocarcinoma,0050917,0002530,[]
952,vaginal carcinoma,0050918,,[]
953,trachea mucoepidermoid carcinoma,0050919,0003126,[]
954,tonsil squamous cell carcinoma,0050920,0002372,[]
955,pharynx squamous cell carcinoma,0050921,0006562,[]
956,gastrointestinal carcinoma,0050922,,[]
957,spindle epithelial tumor with thymus-like differentiation tumor,0050923,,"['settle tumor', 'settle tumour', 'spindle epithelial tumour with thymus-like differentiation tumour']"
958,striated muscle rhabdoid tumor,0050924,,[]
959,small intestine carcinoid neuroendocrine tumor,0050925,,[]
960,jejunal adenocarcinoma,0050926,0002530,[]
961,duodenum adenoma,0050927,0002530,[]
962,ovarian melanoma,0050928,,[]
963,mucosal melanoma,0050929,0000344,[]
964,sublingual gland adenoid cystic carcinoma,0050930,,[]
965,parotid gland adenoid cystic carcinoma,0050931,,[]
966,lung mucoepidermoid carcinoma,0050932,,[]
967,ovarian serous carcinoma,0050933,,[]
968,ovarian clear cell carcinoma,0050934,,['clear-cell ovarian carcinoma']
969,cervical neuroblastoma,0050935,,[]
970,extra-adrenal pheochromocytoma,0050936,,[]
971,retroperitoneal neuroblastoma,0050937,,[]
972,breast lobular carcinoma,0050938,,[]
973,uterine corpus endometrial carcinoma,0050939,,[]
974,endocervical adenocarcinoma,0050940,0002530,[]
975,spastic ataxia 2,0050941,,[]
976,spastic ataxia 3,0050942,,[]
977,spastic ataxia 4,0050943,,[]
978,spastic ataxia 5,0050944,,[]
979,spastic ataxia 7,0050945,,[]
980,Charlevoix-Saguenay spastic ataxia,0050946,,[]
981,hereditary hypophosphatemic rickets with hypercalciuria,0050947,,[]
982,autosomal dominant hypophosphatemic rickets,0050948,,[]
983,autosomal recessive hypophosphatemic rickets,0050949,,[]
984,autosomal recessive cerebellar ataxia,0050950,,[]
985,hereditary ataxia,0050951,,[]
986,spastic ataxia,0050952,,[]
987,X-linked hereditary ataxia,0050953,,[]
988,spinocerebellar ataxia type 1,0050954,,[]
989,spinocerebellar ataxia type 2,0050955,,[]
990,spinocerebellar ataxia type 6,0050956,,[]
991,spinocerebellar ataxia type 4,0050957,,[]
992,spinocerebellar ataxia type 7,0050958,,[]
993,spinocerebellar ataxia type 8,0050959,,[]
994,spinocerebellar ataxia type 10,0050960,,[]
995,spinocerebellar ataxia type 11,0050961,,[]
996,spinocerebellar ataxia type 12,0050962,,[]
997,spinocerebellar ataxia type 13,0050963,,[]
998,spinocerebellar ataxia type 14,0050964,,[]
999,spinocerebellar ataxia type 15,0050965,,['spinocerebellar ataxia type 16']
1000,obsolete spinocerebellar ataxia type 16,0050966,,[]
1001,spinocerebellar ataxia type 17,0050967,,[]
1002,"autosomal dominant cerebellar ataxia, deafness and narcolepsy",0050968,,[]
1003,spinocerebellar ataxia type 18,0050969,,[]
1004,spinocerebellar ataxia type 19/22,0050970,,[]
1005,spinocerebellar ataxia type 20,0050971,,[]
1006,spinocerebellar ataxia type 21,0050972,,[]
1007,spinocerebellar ataxia type 23,0050973,,[]
1008,spinocerebellar ataxia type 25,0050974,,[]
1009,spinocerebellar ataxia type 26,0050975,,[]
1010,spinocerebellar ataxia type 27,0050976,,[]
1011,spinocerebellar ataxia type 28,0050977,,[]
1012,spinocerebellar ataxia type 29,0050978,,[]
1013,spinocerebellar ataxia type 30,0050979,,[]
1014,spinocerebellar ataxia type 31,0050980,,[]
1015,spinocerebellar ataxia type 34,0050981,,[]
1016,spinocerebellar ataxia type 35,0050982,,[]
1017,spinocerebellar ataxia type 36,0050983,,[]
1018,spinocerebellar ataxia type 37,0050984,,[]
1019,spinocerebellar ataxia type 38,0050985,,[]
1020,spinocerebellar ataxia type 40,0050986,,[]
1021,hypomyelinating leukoencephalopathy,0050987,,[]
1022,GRID2-related spinocerebellar ataxia,0050988,,[]
1023,episodic ataxia type 1,0050989,,[]
1024,episodic ataxia type 2,0050990,,[]
1025,episodic ataxia type 3,0050991,,[]
1026,episodic ataxia type 4,0050992,,[]
1027,episodic ataxia type 5,0050993,,[]
1028,episodic ataxia type 6,0050994,,[]
1029,episodic ataxia type 7,0050995,,[]
1030,episodic ataxia type 8,0050996,,[]
1031,"cerebellar ataxia, mental retardation and dysequlibrium syndrome",0050997,,"['camrq', 'cerebellar ataxia, mental retardation, and dysequilibrium syndrome 1 (camrq1)', 'uner tan syndrome', 'vldlr cerebellar hypoplasia']"
1032,nonprogressive cerebellar ataxia with mental retardation,0050998,,[]
1033,autosomal recessive spinocerebellar ataxia 10,0050999,,['scar10']
1034,infective endocarditis,0060000,,[]
1035,withdrawal disorder,0060001,,[]
1036,C1 inhibitor deficiency,0060002,,['quincke edema']
1037,autoimmune disease of central nervous system,0060004,0001017,[]
1038,autoimmune disease of endocrine system,0060005,0000949,[]
1039,obsolete artemis deficiency,0060006,,[]
1040,CD3zeta deficiency,0060007,,[]
1041,janus kinase-3 deficiency,0060008,,[]
1042,MHC class I deficiency,0060009,,"['bls, type i', 'blsi', 'hla class i deficiency', 'bare lymphocyte syndrome type i']"
1043,Omenn syndrome,0060010,,['combined immunodeficiency with hypereosinophilia']
1044,recombinase activating gene 1 deficiency,0060011,,[]
1045,recombinase activating gene 2 deficiency,0060012,,[]
1046,X-linked severe combined immunodeficiency,0060013,,"['scid-x1', 'xscid', 'gamma chain deficiency', 'thymic epithelial hypoplasia']"
1047,CD45 deficiency,0060014,,[]
1048,interleukin-7 receptor alpha deficiency,0060015,,['il-7r']
1049,CD3delta deficiency,0060016,,['cd3d']
1050,CD3epsilon deficiency,0060017,,[]
1051,CD3gamma deficiency,0060018,,[]
1052,coronin-1A deficiency,0060019,,[]
1053,reticular dysgenesis,0060020,,['de vaal disease']
1054,DNA ligase IV deficiency,0060021,,['lig4 syndrome']
1055,CD40 ligand deficiency,0060022,,"['higmx-1', 'x-linked hyper-igm syndrome']"
1056,immunodeficiency with hyper IgM type 3,0060023,,"['cd40 deficiency', 'hyper-igm syndrome due to cd40 deficiency', 'type 3 hyper-igm immunodeficiency']"
1057,lambda 5 deficiency,0060024,,[]
1058,immunoglobulin alpha deficiency,0060025,,"['iga deficiency', 'gamma-a-globulin deficiency']"
1059,immunoglobulin beta deficiency,0060026,,[]
1060,agammaglobulinemia 4,0060027,,"['b cell linker protein deficiency', 'b-cell linker protein deficiency', 'blnk deficiency']"
1061,Good syndrome,0060028,,['thymoma with hypogammaglobulinemia']
1062,autoimmune disease of exocrine system,0060029,0002330,[]
1063,"autoimmune disease of eyes, ear, nose and throat",0060030,0001032,[]
1064,autoimmune disease of gastrointestinal tract,0060031,0001007,[]
1065,autoimmune disease of musculoskeletal system,0060032,0002204,[]
1066,autoimmune disease of peripheral nervous system,0060033,0000010,[]
1067,obsolete medical disorder,0060035,,[]
1068,intrinsic cardiomyopathy,0060036,,[]
1069,developmental disorder of mental health,0060037,,[]
1070,specific developmental disorder,0060038,,[]
1071,autoimmune disease of skin and connective tissue,0060039,,[]
1072,pervasive developmental disorder,0060040,,"['pervasive child development disorders', 'pervasive development disorder']"
1073,autism spectrum disorder,0060041,,[]
1074,atypical autism,0060042,,['pdd']
1075,sexual health disorder,0060043,,[]
1076,paraphilia disorder,0060044,,[]
1077,Munchausen by proxy,0060045,,[]
1078,aphasia,0060046,,[]
1079,writing disorder,0060047,,[]
1080,nosophobia,0060048,,[]
1081,autoimmune disease of urogenital tract,0060049,0004122,[]
1082,autoimmune disease of blood,0060050,0000178,[]
1083,autoimmune disease of cardiovascular system,0060051,0004535,[]
1084,obsolete neurological disorder,0060052,,[]
1085,obsolete peripheral neuropathy,0060053,,[]
1086,autonomic peripheral neuropathy,0060054,,[]
1087,popliteal pterygium syndrome,0060055,,"['facio-genito-popliteal syndrome', 'popliteal web syndrome']"
1088,hypersensitivity reaction disease,0060056,,[]
1089,gluten allergy,0060057,,"['allergy to gluten', 'gluten allergic reaction']"
1090,lymphoma,0060058,0001744,['lymphoid cancer']
1091,non-Hodgkin lymphoma,0060060,,[]
1092,primary cutaneous T-cell non-Hodgkin lymphoma,0060061,,"['cutaneous t cell lymphoma', 'cutaneous t-cell lymphoma']"
1093,familial juvenile hyperuricemic nephropathy,0060062,,[]
1094,sideroblastic anemia 1,0060063,,"['x-linked sideroblastic anaemia', 'x-linked sideroblastic anemia', 'xlsa', 'sideroblastic anaemia 1']"
1095,obsolete sideroblastic anemia with spinocerebellar ataxia,0060064,,['asat']
1096,autosomal recessive pyridoxine-refractory sideroblastic anemia 2,0060065,,"['autosomal recessive pyridoxine-refractory sideroblastic anaemia 2', 'pyridoxine-refractory autosomal recessive sideroblastic anaemia', 'pyridoxine-refractory autosomal recessive sideroblastic anemia']"
1097,pyridoxine-responsive sideroblastic anemia,0060066,,[]
1098,Pearson syndrome,0060067,,['pearson marrow-pancreas syndrome']
1099,nonbacterial thrombotic endocarditis,0060068,,"['marantic endocarditis', 'non-bacterial thrombotic endocarditis']"
1100,obsolete Bacillus cereus pneumonia,0060069,,[]
1101,pre-malignant neoplasm,0060071,,[]
1102,benign neoplasm,0060072,,[]
1103,lymphatic system cancer,0060073,0001744,[]
1104,ductal carcinoma in situ,0060074,,[]
1105,estrogen-receptor positive breast cancer,0060075,,[]
1106,estrogen-receptor negative breast cancer,0060076,,[]
1107,progesterone-receptor positive breast cancer,0060077,,[]
1108,progesterone-receptor negative breast cancer,0060078,,[]
1109,Her2-receptor positive breast cancer,0060079,,[]
1110,Her2-receptor negative breast cancer,0060080,,[]
1111,triple-receptor negative breast cancer,0060081,,[]
1112,breast benign neoplasm,0060082,0000310,[]
1113,immune system cancer,0060083,0002405,[]
1114,cell type benign neoplasm,0060084,,[]
1115,organ system benign neoplasm,0060085,,[]
1116,female reproductive organ benign neoplasm,0060086,0000474,[]
1117,male reproductive organ benign neoplasm,0060087,0000079,[]
1118,vestibular gland benign neoplasm,0060088,0011826,[]
1119,endocrine organ benign neoplasm,0060089,0002368,[]
1120,central nervous system benign neoplasm,0060090,0001017,[]
1121,cardiovascular organ benign neoplasm,0060091,0004535,[]
1122,immune system organ benign neoplasm,0060092,0005057,[]
1123,bone benign neoplasm,0060094,0001474,[]
1124,uterine benign neoplasm,0060095,0000995,[]
1125,sensory organ benign neoplasm,0060096,0001032,[]
1126,thoracic benign neoplasm,0060097,0000915,[]
1127,osteoblastoma,0060098,,[]
1128,musculoskeletal system benign neoplasm,0060099,0002204,[]
1129,musculoskeletal system cancer,0060100,0002204,['skeletal system cancer']
1130,obsolete benign glioma,0060101,,[]
1131,cartilage cancer,0060102,0002418,[]
1132,central nervous system primitive neuroectodermal neoplasm,0060103,0001893,[]
1133,cerebellar medulloblastoma,0060104,,[]
1134,brain meningioma,0060106,0000955,[]
1135,brain glioma,0060108,,['lower grade glioma']
1136,vulvar benign neoplasm,0060109,0000997,[]
1137,cervical benign neoplasm,0060110,0000002,[]
1138,fallopian tube benign neoplasm,0060111,0003889,[]
1139,ovarian benign neoplasm,0060112,0000992,[]
1140,vaginal benign neoplasm,0060114,0000996,[]
1141,nervous system benign neoplasm,0060115,0001016,[]
1142,sensory system cancer,0060116,0001032,[]
1143,peritoneal benign neoplasm,0060117,0002358,[]
1144,thoracic disease,0060118,0000915,[]
1145,pharynx cancer,0060119,0006562,"['pharyngeal neoplasm', 'pharynx neoplasm']"
1146,obsolete skeletal system benign neoplasm,0060120,,[]
1147,integumentary system benign neoplasm,0060121,0002416,[]
1148,integumentary system cancer,0060122,0002416,[]
1149,connective tissue benign neoplasm,0060123,0002384,"['mesenchymal tissue neoplasm', 'neoplasm of soft tissue', 'neoplasm of soft tissues', 'soft tissue benign neoplasm', 'tumor of the soft tissue']"
1150,heavy chain disease,0060125,,[]
1151,alpha chain disease,0060126,,"[""seligmann's disease""]"
1152,gamma heavy chain disease,0060127,,"[""franklin's disease""]"
1153,mu chain disease,0060128,,[]
1154,delta chain disease,0060129,,[]
1155,akinetopsia,0060130,,[]
1156,alexithymia,0060131,,[]
1157,amusia,0060132,,['receptive amusia']
1158,anosognosia,0060133,,[]
1159,apperceptive agnosia,0060134,,[]
1160,apraxia,0060135,,[]
1161,associative agnosia,0060136,,[]
1162,auditory agnosia,0060137,,[]
1163,autotopagnosia,0060138,,[]
1164,color agnosia,0060139,,[]
1165,cortical deafness,0060140,,[]
1166,finger agnosia,0060141,,[]
1167,form agnosia,0060142,,[]
1168,integrative agnosia,0060143,,[]
1169,mirror agnosia,0060144,,[]
1170,pain agnosia,0060145,,['analgesia']
1171,phonagnosia,0060146,,[]
1172,semantic agnosia,0060147,,[]
1173,simultanagnosia,0060148,,[]
1174,social emotional agnosia,0060149,,['expressive agnosia']
1175,astereognosia,0060150,,['somatosensory agnosia']
1176,tactile agnosia,0060151,,[]
1177,time agnosia,0060152,,[]
1178,topographical agnosia,0060153,,[]
1179,verbal auditory agnosia,0060154,,[]
1180,visual agnosia,0060155,,[]
1181,visual verbal agnosia,0060156,,[]
1182,diffuse alopecia areata,0060157,,[]
1183,acquired metabolic disease,0060158,,[]
1184,organic acidemia,0060159,,"['organic acid metabolism disorder', 'organic aciduria']"
1185,childhood spinal muscular atrophy,0060160,,"['spinal muscular atrophies of childhood', 'survival motor neuron spinal muscular atrophy']"
1186,Kennedy's disease,0060161,,"['kennedy disease', 'sbma', 'spinobulbar muscular atrophy', 'x-linked bulbo-spinal atrophy', 'x-linked spinal and bulbar muscular atrophy', 'spinal bulbar muscular atrophy']"
1187,dentatorubral-pallidoluysian atrophy,0060162,,"['drpla', 'haw river syndrome', 'naito-oyanagi disease']"
1188,body dysmorphic disorder,0060163,,"['body dysmorphia', 'dysmorphic syndrome', 'dysmorphophobia']"
1189,pain disorder,0060164,,[]
1190,Kleine-Levin syndrome,0060165,,[]
1191,bipolar ll disorder,0060166,,[]
1192,seasonal affective disorder,0060167,,['winter depression']
1193,histidinemia,0060168,,['histidinuria']
1194,benign familial infantile epilepsy,0060169,,"['bfic', 'bfie', 'benign familial infantile convulsion', 'benign familial infantile seizures']"
1195,generalized epilepsy with febrile seizures plus,0060170,,['gefs+']
1196,obsolete Dravet syndrome,0060171,,[]
1197,juvenile absence epilepsy,0060172,,[]
1198,Timothy syndrome,0060173,,[]
1199,GABA aminotransferase deficiency,0060174,,"['gamma-amino butyric acid transaminase deficiency', 'gamma-aminobutyric acid transaminase deficiency']"
1200,succinic semialdehyde dehydrogenase deficiency,0060175,,"['4-hydroxybutyric aciduria', 'ssadh', 'gamma-hydroxybutyric aciduria']"
1201,gamma-amino butyric acid metabolism disorder,0060176,,[]
1202,homocarnosinosis,0060177,0000955,[]
1203,familial hemiplegic migraine,0060178,,[]
1204,Renpenning syndrome,0060179,,"['golabi-ito-hall syndrome', 'sutherland-haan x-linked mental retardation syndrome', 'x-linked intellectual disability due to pqbp1 mutations', 'x-linked intellectual disability, renpenning type', 'x-linked mental retardation renpenning type', 'x-linked mental retardation with spastic diplegia', 'syndromic x-linked mental retardation 8']"
1205,colitis,0060180,,[]
1206,ischemic colitis,0060181,,[]
1207,microscopic colitis,0060182,,[]
1208,collagenous colitis,0060183,,[]
1209,lymphocytic colitis,0060184,,[]
1210,Clostridium difficile colitis,0060185,,['pseudomembranous colitis']
1211,chemical colitis,0060186,,[]
1212,diversion colitis,0060187,,[]
1213,jejunoileitis,0060188,,[]
1214,ileitis,0060189,0002116,"[""crohn's ileitis""]"
1215,ileocolitis,0060190,0002116,[]
1216,gastroduodenal Crohn's disease,0060191,,"[""upper gi crohn's disease""]"
1217,Crohn's colitis,0060192,,[]
1218,amyotrophic lateral sclerosis type 1,0060193,,"['als1', 'amyotrophic lateral sclerosis 1']"
1219,amyotrophic lateral sclerosis type 2,0060194,,"['als2', 'amyotrophic lateral sclerosis 2', 'amyotrophic lateral sclerosis 2, juvenile']"
1220,amyotrophic lateral sclerosis type 3,0060195,,['amyotrophic lateral sclerosis 3']
1221,amyotrophic lateral sclerosis type 4,0060196,,"['als 4', 'amyotrophic lateral sclerosis 4', 'amyotrophic lateral sclerosis 4, juvenile', 'dhmn with upper motor neuron signs', 'distal hereditary motor neuropathy with pyramidal features', 'distal hereditary motor neuropathy with upper motor neuron signs']"
1222,amyotrophic lateral sclerosis type 5,0060197,,"['als5', 'amyotrophic lateral sclerosis 5']"
1223,amyotrophic lateral sclerosis type 6,0060198,,"['als6', 'amyotrophic lateral sclerosis 6, with or without frontotemporal dementia', 'autosomal recessive amyotrophic lateral sclerosis 6']"
1224,amyotrophic lateral sclerosis type 7,0060199,,"['als7', 'amyotrophic lateral sclerosis 7']"
1225,amyotrophic lateral sclerosis type 9,0060200,,"['als9', 'amyotrophic lateral sclerosis 9']"
1226,amyotrophic lateral sclerosis type 10,0060201,,"['als10', 'tardbp-related frontotemporal lobar degeneration with tdp43 inclusions', 'amyotrophic lateral sclerosis 10', 'amyotrophic lateral sclerosis 10, with or without frontotemporal dementia']"
1227,amyotrophic lateral sclerosis type 11,0060202,,"['als11', 'amyotrophic lateral sclerosis 11']"
1228,amyotrophic lateral sclerosis type 12,0060203,,"['als12', 'amyotrophic lateral sclerosis 12']"
