,biomarker_ID,main_Xref,assesed_biomarker_entity,biomarker_status,best_biomarker_type,specimen_type,loinc_code,condition_name,assessed_entity_type,evidence_source,notes,gene
104,A0224,UPKB:Q8NBJ4,Golgi membrane protein 1 (GOLM1),increased GOLM1 level,predictive,urine (UN:0001088),,prostate cancer (DOID:10283),protein,"Our data indicating the up-regulation of GOLM1 expression and its appearance in patients' urine suggest GOLM1 as a potential novel biomarker for clinically localized prostate cancer. our group has shown that increased GOLM1 transcript in urine, along with SPINK1 and PCA3 transcript expression, and TMPRSS2:ERG fusion status were able to predict prostate cancer outcome. [PMID:18953438]",,GOLM1
105,A0226,UPKB:P02771,Alpha-fetoprotein (AFP),increased AFP level,diagnostic,blood (UN:0000178),,liver cancer (DOID:3571),protein,"Levels of DCP, AFP and AFP L-3 were significantly higher in patients with HCC than in those without HCC. High levels of AFP correlated with diffuse type of HCC. [PMID:18422961] DCP was significantly better than total AFP and AFP-L3 in differentiating HCC from cirrhosis, with a sensitivity of 86% and specificity of 93%. All 3 markers had a lower area under the ROC curve and lower sensitivity in the group with high versus that with low risk for HCC. DCP has the best performance characteristics of all 3 serum markers for the diagnosis of HCC. Performance of all 3 biomarkers is lower in patients with high risk for HCC. each marker had higher levels in patients with HCC compared to cirrhotic controls. [PMID:17522429] AFP was more sensitive than DCP and AFP-L3 for the diagnosis of early and very early stage HCC. [PMID:19362088] DCP was more sensitive and specific than AFP for differentiating HCC from nonmalignant chronic liver disease. Four groups were studied: G1, normal healthy subjects; G2, patients with noncirrhotic chronic hepatitis; G3, patients with compensated cirrhosis; and G4, patients with histologically proven HCC. AFP levels increased progressively from G1 to G4. [PMID:12717392] This study aimed to investigate the clinical utility of simultaneous measurement of alpha-fetoprotein (AFP) for hepatocellular carcinoma (HCC) diagnosis caused by hepatitis B virus infection. Subjects were 1,153 individuals had serum levels of AFP that were measured and clinicopathological features were determined for all subjects. Results showed that the levels of AFP were significantly higher in hepatocellular carcinoma group (550 patients, 74.18% with HBV infection) than that in other four groups (P < 0.001). Receiver operating curves (ROC) indicated the optimal cut-off value was 21 ng/mL for AFP with a sensitivity of 68.00% and specificity of 93.20%. The area under ROC curve was 0.832 for AFP. [PMID:25382443]","EDRN biomarker|Simultaneous measurement of AFP and DCP could achieve a better sensitivity in diagnosing Chinese HCC patients, even for small tumors.",AFP
106,A0227,UPKB:Q9NS00,Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (C1GALT1),increased C1GALT1 level,prognostic,squamous epithelium (UN:0006914),,head and neck cancer (DOID:11934),protein,"C1GALT1 expression is upregulated in HNSCC tumors and is associated with adverse clinicopathologic features. Moreover, high C1GALT1 expression predicts poor disease-free and overall survivals. For Kaplan–Meier analysis, we further classified C1GALT1 scores 0–1 and scores 2–3 as low and high expression, respectively. Results showed that high C1GALT1 expression was significantly associated with poor disease-free survival and overall survival. [PMID:29930379]",Head and neck squamous cell carcinoma (HNSCC)|Upregulated C1GALT1 expression,C1GALT1
107,A0228,UPKB:P02750,Leucine-rich alpha-2-glycoprotein 1 (LRAG1),increased LRAG1 level,predictive,blood (UN:0000178),,esophageal cancer (DOID:5041),protein,"Among them, the serum levels of leucine-rich alpha-2-glycoprotein 1 (LRG1) were significantly different (p < 0.01) and well discriminated (area under the curve (AUC) of the receiver operating characteristic (ROC) curve >0.8) between responder and non-responder groups. The present results suggest that LRG1 and its combination with CRP and sIL-6R are promising biomarker candidates to predict response to PCRT in esophageal cancer patients. [PMID:31582665]",,LRAG1
108,A0229,,UCA1 long non-coding RNA (UCA1 lnRNA),decreased UCA1 lnRNA level,prognostic,blood (UN:0000178),,esophageal cancer (DOID:5041),RNA,"The results revealed that the expression of UCA1 was decreased in esophageal cancer tissues and plasma exosomes. UCA1 was enriched in exosomes, and exosomal UCA1 was a promising biomarker for the diagnosis of esophageal cancer with 86.7% sensitivity and 70.2% specificity. Overexpression of UCA1 played anticancer roles in esophageal cancer cells through inhibiting cell proliferation, invasion and migration, and colony formation. The results suggested that exosomal UCA1 inhibits tumorigenesis and progression of esophageal cancer in vitro and in vivo, and might be a promising biomarker for esophageal cancer. [PMID:33122449]",,UCA1 lnRNA
109,A0230,UPKB:O95235,Kinesin family member 20A (KIF20A),increased KIF20A level,prognostic,breast (UN:0000310),,breast cancer (DOID:1612),protein,"Moreover, KIF20A expression was significantly associated with the poor prognosis of patients with breast cancer. A multivariate analysis indicated that KIF20A expression was an independent prognostic factor for patients with breast cancer. [PMID:32467984]",Increased expression of Kinesin family member 20A,KIF20A
110,A0231,UPKB:Q9Y5K2,Kallikrein-related peptidase 4 (KLK4),increased KLK4 level,diagnostic,prostate gland (UN:0002367),,prostate cancer (DOID:10283),protein,"Distinct KLK4 immunostaining was observed with both antibodies in cancerous glandular epithelial cells, but not in surrounding stromal cells. KLK4 expression was lower in stage pT3q4 than in pT1q2 tumors, which was highly significant when employing pAb 617A. Thus, the results indicate that KLK4, which is expressed in the healthy prostate, is upregulated in early-stage but not late-stage prostate cancer. [PMID:20180634]",Upregulated KLK4,KLK4
111,A0232,UPKB:P12830,E-cadherin (CDH1),increased CDH1 level,prognostic,blood (UN:0000178),29540-2,prostate cancer (DOID:10283),protein,There is a significant difference in the expression level of the 80 kDa fragment in the serum of healthy individuals vs patients with BPH and between BPH vs Loc PCA and Met PCA (P<0.001). Highest expression levels are observed in advanced metastatic disease. High expression at the time of diagnosis is associated with a significantly increased risk of biochemical failure. [PMID:15870707],,CDH1
112,A0232,UPKB:P12830,E-cadherin (CDH1),increased CDH1 level,prognostic,stomach (UN:0000945),21652-3,stomach cancer (DOID:10534),gene,CDH1 somatic alterations were found in approximately 30% of all patients with GC. CDH1 somatic alterations exist in all clinical settings and histotypes of GC and associate with different survival rates. Their screening at GC diagnosis may predict patient prognosis and is likely to improve management of patients with this disease. [PMID:23341533],EDRN biomarker|Overexpression of CDH1,CDH1
113,A0233,CHEBI:76792,5-Hydroxymethylcytosine (5HMC),decreased 5HMC level,monitoring,blood (UN:0000178),,prostate cancer (DOID:10283),metabolite,"When the measured levels of 5hmC2 in white blood cells were lower the patients showed significantly different distributions of prostate cancer conditions. Patients with low and elevated 5hmC content showed significantly different distributions across different prostate conditions. The distribution of these patients in prostate cancer was similar to that observed in healthy subjects, while for atypical small acinar proliferation, most patients had increased 5hmC levels. This 5hmC-based biomarker had a lower performance in the detection of prostate cancer in comparison with blood levels of prostate-specific antigen when using a cut-off point of 2.5 nanograms per milliliter. Above this threshold value, however, this biomarker allowed us to distinguish almost three-quarters of patients with prostate cancer from controls. [PMID:29156615]",,5HMC
114,A0234,UPKB:O00244,Copper chaperone ATOX1 (ATOX1),increased ATOX1 level,prognostic,breast (UN:0000310),,breast cancer (DOID:1612),gene,"Since most cancer-related deaths are due to metastasis, we hypothesized that ATOX1 mRNA expression may be associated with breast cancer disease progression and thus, a prognostic biomarker in breast cancer. Our results indicate ATOX1 expression levels as a potential prognostic biomarker for ER-positive subtypes and early stages of breast cancer. [PMID:31898157]",ATOX1 is involved breast cancer cell migration and therefore metasis|May be a factor in disease progression|Increased ATOX1 expression,ATOX1
115,A0235,,Hepatocellular carcinoma up-regulated long non-coding RNA (HULC),increased HULC level,diagnostic,blood (UN:0000178),,pancreatic cancer (DOID:1793),RNA,"Long noncoding RNA HULC was identified as an inducer of the EMT and was aberrantly expressed in PDAC in vitro and in vivo. HULC is enriched within EVs released by tumor cells after incubation with TGFbeta and can modulate cellular signaling and tumor invasion and migration in recipient cells. We evaluated the role of EV lncRNA-miRNA signaling in tumor invasion and migration in PDAC cells, and identified EV-encapsulated lncRNA as a biomarker for PDAC (Figure 8). These findings provide mechanistic insights into cancer cell invasion and metastasis, identify novel therapeutic targets for cancer, and suggest the potential of EV HULC for early diagnosis of PDAC. [PMID:31715081]",Pancreatic ductal adenocarcinoma studied in extracellular vesicles (EVs) pancreatic cancer|Upregulation of HULC,HULC
116,A0236,MRB:MI0003137,miRNA-193b (MIR‑193B),decreased MIR-193B level,prognostic,ovary (UN:0000992),,ovarian cancer (DOID:2394),RNA,Reduction of miR-193b was found in ovarian cancer and its lower expression was associated with poorer prognosis. Tissue miR-193b showed potential as novel biomarker for ovarian cancer. The results showed that the miR-193b expression was significantly down-regulated in ovarian cancer cell lines and tumor tissues compared with normal controls. [PMID:26675282],Lower expression of MIR-193B,MIR‑193B
117,A0237,NCIt:C96564,Lectin-bound alpha-fetoprotein (AFP-L3),increased AFP-L3 level,diagnostic,blood (UN:0000178),,liver cancer (DOID:3571),protein,"DCP was significantly better than total AFP and AFP-L3 in differentiating HCC from cirrhosis, with a sensitivity of 86% and specificity of 93%. All 3 markers had a lower area under the ROC curve and lower sensitivity in the group with high versus that with low risk for HCC. DCP has the best performance characteristics of all 3 serum markers for the diagnosis of HCC. Performance of all 3 biomarkers is lower in patients with high risk for HCC. Each marker had higher levels in patients with HCC compared to cirrhotic controls. [PMID:17522429] AFP was more sensitive than DCP and AFP-L3 for the diagnosis of early and very early stage HCC. [PMID:19362088] AFP mRNA has been shown to correlate with the metastasis and recurrence of HCC, and it may be the most useful marker to prefigure the prognosis. [PMID:16534867] Levels of DCP, AFP and AFP L-3 were significantly higher in patients with HCC than in those without HCC. [PMID:18422961] DCP was more sensitive and specific than AFP for differentiating HCC from nonmalignant chronic liver disease. [PMID:12717392]",EDRN biomarker,AFP-L3
118,A0238,UPKB:Q9NPI6,Des-gamma carboxy-prothrombin (DCP1A),increased DCP1A level,diagnostic,blood (UN:0000178),,liver cancer (DOID:3571),protein,"DCP was significantly better than total AFP and AFP-L3 in differentiating HCC from cirrhosis, with a sensitivity of 86% and specificity of 93%. All 3 markers had a lower area under the ROC curve and lower sensitivity in the group with high versus that with low risk for HCC. DCP has the best performance characteristics of all 3 serum markers for the diagnosis of HCC. Performance of all 3 biomarkers is lower in patients with high risk for HCC. Each marker had higher levels in patients with HCC compared to cirrhotic controls. [PMID:17522429] AFP was more sensitive than DCP and AFP-L3 for the diagnosis of early and very early stage HCC. [PMID:19362088] AFP mRNA has been shown to correlate with the metastasis and recurrence of HCC, and it may be the most useful marker to prefigure the prognosis. [PMID:16534867] Levels of DCP, AFP and AFP L-3 were significantly higher in patients with HCC than in those without HCC. [PMID:18422961] DCP was more sensitive and specific than AFP for differentiating HCC from nonmalignant chronic liver disease. [PMID:12717392] This study aimed to investigate the clinical utility of simultaneous measurement of des-gamma-carboxy prothrombin (DCP) for hepatocellular carcinoma (HCC) diagnosis caused by hepatitis B virus infection. Subjects were 1,153 individuals had serum levels of DCP that were measured and clinicopathological features were determined for all subjects. Results showed that the levels of DCP and AFP were significantly higher in hepatocellular carcinoma group (550 patients, 74.18% with HBV infection) than that in other four groups (P < 0.001). Receiver operating curves (ROC) indicated the optimal cut-off value was 86 mAU/mL for DCP with a sensitivity of 71.50% and specificity of 86.30%. The area under ROC curve was 0.846 for AFP. [PMID:25382443]","EDRN biomarker|Simultaneous measurement of AFP and DCP could achieve a better sensitivity in diagnosing Chinese HCC patients, even for small tumors.",DCP1A
119,A0242,UPKB:P04637,Tumor protein gene mutation (TP53),increased mutation,prognostic,ovary (UN:0000992),,ovarian cancer (DOID:2394),gene,"Here we report that high-grade serous ovarian cancer is characterized by TP53 mutations in almost all tumours (96%). Mutations in TP53 predominated, occurring in at least 96% of HGS-OvCa samples. [PMID:21720365]","EDRN biomarker|Low prevalence but statistically recurrent somatic mutations in nine further genes including NF1, BRCA1, BRCA2, RB1 and CDK12|113 significant focal DNA copy number aberrations and promoter methylation events involving 168 genes|TP53 mutations are implicated in numerous other cancers|UPKB:P04637",TP53
120,A0243,NCIt:C92514,Vascular endothelial growth factor (VEGF),increased VEGF level,diagnostic,blood (UN:0000178),,breast cancer (DOID:1612),protein,"The most potent stimulator of angiogenesis, an important mechanism in tumor development, proliferation, and metastasis, is vascular endothelial growth factor (VEGF). [PMID:19623180] The plasma levels of Vascular endothelial growth factor (VEGF) in breast cancer patients were investigated and compared with control groups. The medians of VEGF, which was 134.96 pg/ml, levels similarly to the level of the commonly accepted tumor marker (CA 15-3 – 25.00 U/ml) in the total group of breast cancer patients were significantly higher when compared to the healthy subjects, which is 43.40 pg/ml (p < 0.001). In other words, the median levels of VEGF in breast cancer total group were statistically higher than in benign breast tumor patients group (p = 0.054). [PMID:23688065]",Elevation of VEGF concentration,VEGF
121,A0247,UPKB:Q9Y279,Protein V-set and Ig domain-containing 4 (VSIG4),increased VSIG4 level,prognostic,ovary (UN:0000992),,ovarian cancer (DOID:2394),protein,"VSIG4 messenger RNA and protein expression levels in ovarian cancer tissues were higher than those in benign ovarian tumors (P = 0.0013 and 0.0001, respectively). Furthermore, soluble VSIG4 levels are associated with the progression and recurrence of ovarian cancer, indicating that soluble VSIG4 may be used as a potential biomarker for predicting tumor prognosis. [PMID:28498255]",Increased expression of VSIG4,VSIG4
122,A0248,MRB:MI0003626,miRNA-613 (MIR‑613),decreased MIR-613 level,prognostic,ovary (UN:0000992),,ovarian cancer (DOID:2394),RNA,"miR-613 expression in ovarian cancer tissue specimens was significantly (p < 0.001) lower than that in matched normal adjacent tissue specimens. miR-613 expression levels are low in ovarian cancer tissue and correlate with progression-free and overall survival. Thus, miR-613 may be useful as a prognostic marker in ovarian cancer. [PMID:27010138]",Decreased expression of MIR-613,MIR‑613
123,A0249,MRB:MI0000783,miRNA-375-3p (MIR‑375-3P),increased MIR-375-3P level,prognostic,esophagus (UN:0001043),,esophageal cancer (DOID:5041),RNA,"We performed Gene Set Enrichment Analysis (GSEA) to identify the top three gene sets that significantly altered between the patients with miR-375 low expression and high expression. In conclusion, our findings suggest that miR-375 serves as a promising independent prognostic factor for ESCC and function as a tumor suppressor. patients with high miR-375 expression in ESCC had a well prognosis due to down-regulated activity of RNA polymerase I and III. [PMID:30638952]",Increased MIR-375 expression,MIR‑375-3P
124,A0250,NCIt:C113815,Zinc alpha-2-glycoprotein (AZGP1),increased AZGP1 level,predictive,urine (UN:0001088),,prostate cancer (DOID:10283),protein,"Receiver operating characteristic curve analysis showed a significant predictive ability of ZAG for prostate cancer. The area under the curve (AUC) for the prediction of prostate cancer was 0.68 (95% CI 0.59-0.78) ... The optimal cut-off was 1.13 for ZAG, which corresponded to 6.88 times greater odds for prostate cancer. [PMID:23020913]",Presence of ZAG in urine,AZGP1
125,A0250,NCIt:C113815,Zinc alpha-2-glycoprotein (AZGP1),decreased AZGP1 level,prognostic,prostate gland (UN:0002367),,prostate cancer (DOID:10283),protein,"In the phase II cohort, with a median follow-up of 15.8 years, low/absent AZGP1 expression was an independent predictor of poor BRFS (HR, 1.4; 95% CI, 1.1-1.9; P = 0.03), MFS (HR, 2.8; 95% CI, 1.2-6.6; P = 0.02) and PCSS (HR, 3.8; 95% CI, 1.5-9.5; P = 0.005). These results were validated in our prospective phase III cohort. Low/absent AZGP1 expression independently predicted for BRFS (HR, 1.9; 95% CI, 1.1-3.3; P = 0.02), with shorter MFS (HR, 2.0; 95% CI, 1.1-3.4; P = 0.02). AZGP1 improved the discriminatory value when incorporated into existing prognostic risk models. [PMID:28486686]",,AZGP1
126,A0251,UPKB:P25311,T Helper cytokine 17 (Th17),increased Th17 level,prognostic,breast (UN:0000310),,breast cancer (DOID:1612),protein,"Greater varieties of helper t cell can infiltrate a breast cancer microenvironment. We found that Th17, was the most favorable prognostic signature in a subset of TN breast cancer with low T cell infiltrate. We provide evidence that a Th17 signature is associated with good prognosis in TN breast cancer specifically in T-low tumors. [PMID:31428522]",High Th17 cytokine metagenes expression,Th17
127,A0253,UPKB:P20700,Lamin B1 (LMNB1),increased LMNB1 level,diagnostic,blood (UN:0000178),,liver cancer (DOID:3571),gene,"Lamin B1 (LMNB1) mRNA was detected in 16 of 21 (76%) plasma from patients with early stage HCC and 12 of 14 (86%) from patients with late stage HCC, whereas only 19% and 17% in cirrhosis and normal subjects demonstrated LMNB1, respectively. The positivity rate of circulating LMNB1 mRNA gradually increased with tumor stages progression and it was significantly higher in HCC than in cirrhosis and normal individuals (p < 0.05 and p < 0.01, respectively). The overall detection sensitivity of LMNB1 mRNA for Hepatocellular carcinoma HCC was 80 and the specificity was 82%, where in particular for the detection of early stage and late stage HCCs the sensitivity is 76% and 86%, respectively. [PMID:19522540]",Elevation of circulating Lamin B1 ,LMNB1
128,A0254,UPKB:P46013,KI67 antigen (MKI67),increased MKI67 level,predictive,breast (UN:0000310),,breast cancer (DOID:1612),protein,"The data indicated that patients whose tumors contained high levels of Ki67 effectively responded to anthracycline and taxane-containing neoadjuvant chemotherapy. Ki67 LI was a predictive marker for pCR, and all patients whose tumors achieved pathologic Complete Response (pCR) are currently disease-free. [PMID:23645542]",Ki67 expression is a predictive factor for pCR in neoadjuvant chemotherapy|High Ki67 expression.,MKI67
129,A0255,UPKB:P29972,Aquaporin-1 (AQP1),increased AQP1 level,diagnostic,urine (UN:0001088),,kidney cancer (DOID:263),protein,The AQP1 concentrations in patients with either clear cell or papillary carcinoma were significantly greater and clearly separated from those in the nonnephrectomy surgical control patients and the healthy individuals. High concentration of AQP1 in urine demonstrated 100% sensitivity and 100% specificity in detecting renal cancer. [PMID:20375178],Serve as a predictive biomarker as well|Increased urine AQP1 excretion,AQP1
130,A0256,UPKB:Q99541,Adipophilin (ADFP),increased ADFP level,diagnostic,urine (UN:0001088),,kidney cancer (DOID:263),protein,The ADFP concentrations in patients with either clear cell or papillary carcinoma were significantly greater and clearly separated from those in the nonnephrectomy surgical control patients and the healthy individuals. High ADFP concentration in the urine demonstrated 100% sensitivity and 100% specificity in detecting renal cancer. [PMID:20375178],Can also serve as predictive biomarker|Increased urine ADFP excretion.,ADFP
131,A0257,CHEBI:89446,Lactosylceramide (LACCER),increased LACCER level,diagnostic,urine (UN:0001088),,prostate cancer (DOID:10283),metabolite,"In terms of lipid classes, it was noted that HexCer species were in general more abundant in urinary exosomes from prostate cancer patients than from healthy controls, and that LacCer species were increased or unchanged. This is an interesting result since antibodies against LacCer and GlcCer are available, opening the alternative of analyzing these lipids by antibody-based methods, which are widely used in clinical laboratories. LacCer also showed the highest patient-to-control ratio. [PMID:27914242]",,LACCER
132,A0258,CHEBI:77462,Hexosylceramide (HEXCER),increased HEXCER level,prognostic,urine (UN:0001088),,prostate cancer (DOID:10283),metabolite,"It was noted that HexCer species were in general more abundant in urinary exosomes from prostate cancer patients than from healthy controls, and that LacCer species were increased or unchanged. [PMID:27914242]",Also a diagnostic biomarker,HEXCER
133,A0259,CHEBI:90437,Phosphatidylserine (PS),decreased PS level,prognostic,urine (UN:0001088),,prostate cancer (DOID:10283),metabolite,"PS 18:1/18:1 alone demonstrated lower expression in urine in patients as compared to the controls. Also, the author calculated that in urinary exosomes, PS 18:0e18:1 in the inner leaflet could occupy 72 18% (mean SD; n Z 13) and 66 22% (mean SD; n Z 15) of the area occupied by long-chain sphingolipids (N amidated C22 and C24) in urinary exosomes from controls and prostate cancer patients, respectively. The highest significance was shown for phosphatidylserine (PS) 18:1/18:1 and lactosylceramide (d18:1/16:0), the latter also showed the highest patient-to-control ratio. Furthermore, combinations of these lipid species and PS 18:0-18:2 distinguished the two groups with 93% sensitivity and 100% specificity. [PMID:27914242]",Also a diagnostic biomarker,PS
134,A0260,UPKB:Q8N2U0,Transmembrane protein 256 (TM256),increased TM256 level,diagnostic,urine (UN:0001088),,prostate cancer (DOID:10283),protein,"The most interesting potential prostate cancer biomarker identified in our study (both at 100% specificity and combined specificity and sensitivity) is TM256/C17orf61, a protein that has been predicted to be located at the plasma membrane and in exosomes. TM256 showed the highest sensitivity (94%) and level of enrichment (140-fold) of all the detected proteins. The fact that TM256 is also relatively abundant in patient exosomes further increases the interest for this protein as a promising biomarker. [PMID:26196085]","The study analyzed urinary exosomes of prostate cancer patients, and found 246 protein changes. The authors also mentioned urinary exosomes can be used in the diagnosis and clinical management of prostate cancer|High expression of TM256.",TM256
135,A0261,UPKB:Q02790,Peptidyl-prolyl cis-trans isomerase (FKBP4),increased FKBP4 level,diagnostic,prostate gland (UN:0002367),,prostate cancer (DOID:10283),protein,FKBP4 was increased in PCa specimen. It was also interesting that FKBP4 (also known as FKBP52) was up-regulated in Pca. [PMID:17722004],Upregulation of FKBP4 level,FKBP4
136,A0262,UPKB:P21333,Filamin-A (FLNA),decreased FLNA level,diagnostic,prostate gland (UN:0002367),,prostate cancer (DOID:10283),protein,"2-DE protein profile of FLNA(7–15) clearly reveals a decrease in this protein in PNBX specimens from PCa patients. FLNA(7–15) levels were notably reduced in AMACR-positive PCa specimens as measured by immunoblot analysis (Fig. 3e). These results, taken with proteomics observations, suggest that FLNA(7–15) is down-regulated in prostate cancer. Among the proteins identified, the most notable was the endogenous 100-kDa fragment of FLNA and FKBP4, FLNA(7–15), which was found to be markedly down-regulated in PCa specimens. [PMID:17722004]",Filamin-A (7–15),FLNA
137,A0267,UPKB:Q96IZ7,Serine/arginine-related protein 53 (RSRC1),increased RSRC1 level,monitoring,blood (UN:0000178),,lung cancer (DOID:1324),gene,"At the top middle was the RSRC1 module, which included RSRC1 and FLOT1. Within this module, eight genes (RPS11, RPS14, RPS15, RPS26, RPS28, RPS3, RPS3A, and RPS9) that RSRC1 interacted with were ribosomal protein genes. Ribosome is important for protein biosynthesis, and there have been several reports that downregulation of ribosomal protein can inhibit or attenuate NSCLC growth and migration. [PMID:30532555]",High expression of RSRC1 gene,RSRC1
138,A0268,UPKB:Q99697,Pituitary homeobox 2 gene methylation (PITX2),increased methylation,predictive,prostate gland (UN:0002367),,prostate cancer (DOID:10283),gene,"However, after FDR adjustment at 5% was applied, only methylation of PITX2 remained significant (p = 0.005) for predicting PCa related death and is interpreted as the following: for each 10% increase in methylation of PITX2, the risk of PCa-related death increased by a factor of 1.56. [PMID:25402584]",Increase methylation of PITX2|UPKB:Q99697,PITX2
139,A0269,,TMPRSS2-ERG fusion protein (TMPRSS2-ERG),increased TMPRSS2-ERG level,predictive,prostate gland (UN:0002367),,prostate cancer (DOID:10283),gene,"TMPRSS2-ERG was found to associate with these factors in a manner predicting a poor outcome of the patient (high tumor stromal expression of PDGFRbeta, hyaluronan, von Willebrand factor and low stromal expression of Caveolin-1) (Table 5 and 6). These results indicate that presence of TMPRSS2-ERG is related to stromal phenotypes associated with bad prognosis of prostate cancer patients. The present study suggests that the TMPRSS2-ERG fusion gene is associated with a more aggressive prostate cancer phenotype, supported by changes in the tumor stroma. [PMID:24505269]",Increased TMPRSS2-ERG expression,TMPRSS2-ERG
140,A0270,UPKB:P61073,C-X-C chemokine receptor type 4 (CXCR4),increased CXCR4 level,prognostic,skin epidermis (UN:0001003),,skin cancer (DOID:4159),protein,"The CXCR4 expression on tumor cells was correlated with an unfavorable prognosis with a median disease-free and overall survival of 22 and 35 months, respectively. The hazard ratios of relapse and death, compared with patients with CXCR4-negative tumors, were 2.5 (95% confidence interval, 1.2-6.1) and 3.1 (95% confidence interval, 1.1-7.2), respectively. This article provides the first evidence that CXCR4 expression could be an independent and powerful prognostic marker in primary cutaneous malignant melanomas. [PMID:15756007]",Increased CXCR4 expression,CXCR4
141,A0271,UPKB:P07858,Cathepsin B (CTSB),increased CTSB level,prognostic,blood (UN:0000178),,skin cancer (DOID:4159),protein,"Indeed, significantly elevated levels of Cathepsin B (as determined by unpaired t test) were observed in melanoma patients. However, Cathepsin B levels were also elevated in breast cancer patients, indicating that cathepsin B is not unique to melanoma but may be associated with general tumor progression. Cathepsin B levels were also independent of age and stages of melanoma. In our study, serum cathepsin B levels were elevated in both melanoma and breast cancer patients. Based on these data, it is suggested that cathepsin B might be relevant to the development of a broad range of tumor, possibly contributing to the tumor cell migration and metastasis due to its protease function. [PMID:21673904]",Can be used for breast cancer too,CTSB
142,A0272,UPKB:Q9BXJ4,Complement C1q tumor necrosis factor-related protein 3 (C1QTNF3),increased C1QTNF3 level,diagnostic,prostate gland (UN:0002367),,prostate cancer (DOID:10283),gene,We were able to draw the conclusion that C1QTNF3 was significantly overexpressed in prostate tumor tissues. [PMID:29861410],Increased C1QTNF3 expression,C1QTNF3
143,A0273,UPKB:Q13144,Translation initiation factor eIF-2B subunit epsilon (EIF2B5),decreased EIF2B5 level,predictive,ovary (UN:0000992),,ovarian cancer (DOID:2394),gene,Low EIF2B5 expression was found in ovarian cancer tissues and correlated with survival status. Survival analysis showed that ovarian cancer patients with low EIF2B5 expression had a short OS. Low EIF2B5 expression predicts poor prognosis in ovarian cancer. [PMID:32000373],Low EIF2B5 expression,EIF2B5
144,A0274,UPKB:P40692,DNA mismatch repair protein Mlh1 (MLH1),decreased MLH1 level,prognostic,ovary (UN:0000992),81691-8,ovarian cancer (DOID:2394),protein,Low MLH1 expression was associated with improved prognosis and is a possible predictor of the chemosensitivity of ovarian cancer. [PMID:31570444],EDRN biomarker|Low MLH1 expression,MLH1
145,A0275,UPKB:Q6AZW8,Zinc finger protein 660 (ZNF660),decreased ZNF660 level,prognostic,prostate gland (UN:0002367),,prostate cancer (DOID:10283),gene,"We furthermore identify ZNF660 hypermethylation as associated with increased risk of BCR, as well as with reduced OS and reduced CSS, thus showing promising prognostic potential. ZNF660 hypermethylation was also significantly associated with poor overall and PC-specific survival in the RP. [PMID:29465788]",,ZNF660
146,A0276,UPKB:Q8NDV1,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 (ST6GALNAC3)",decreased ST6GALNAC3 level,diagnostic,prostate gland (UN:0002367),,prostate cancer (DOID:10283),gene,"ST6GALNAC3 and ZNF660 mRNA levels were significantly downregulated in PC compared to AN tissue samples (P < 0.0001; Fig. 1K,L). Furthermore, the mRNA expression level of each gene was moderately, but significantly, inversely correlated with the promoter methylation level (P < 0.001; Fig. 1M,N), collectively suggesting that aberrant promoter hypermethylation may contribute to downregulation of ST6GALNAC3 and ZNF660 in PC. [PMID:29465788]",,ST6GALNAC3
147,A0277,UPKB:Q96QU8,Exportin-6 (XPO6),increased XPO6 level,prognostic,prostate gland (UN:0002367),,prostate cancer (DOID:10283),gene,"XPO6 expression was significantly higher in patients with elevated PSA levels (>20 ng/ml) prior to radical prostatectomy (P=0.02). Elevated XPO6 expression was also found in patients with higher combined Gleason score (>/=8) in both biopsy and radical prostatectomy specimens (P=1.34E-3, P=3.09E-3, respectively). Furthermore, a positive association was found for the elevated expression of XPO6 and lymph node metastasis occurrence (P=0.01), biochemical recurrence (P=1.57E-3), and distant metastasis occurrence (P=3.27E-4). [PMID:26709895]",Increased XPO6 expression,XPO6
148,A0278,UPKB:P26651,Tristetraprolin (ZFP36),decreased ZFP36 level,prognostic,prostate gland (UN:0002367),,prostate cancer (DOID:10283),gene,Lower levels of tristetraprolin in human prostate cancer prostatectomy tissue are associated with more aggressive prostate cancer and may serve as an actionable prognostic and predictive biomarker. [PMID:30420441],Low Tristetraprolin expression,ZFP36
149,A0279,UPKB:Q15910,Zeste homolog 2 (EZH2),increased EZH2 level,prognostic,prostate gland (UN:0002367),96964-2,prostate cancer (DOID:10283),protein,"EZH2 protein are increased in metastatic prostate cancer; in addition, clinically localized prostate cancers that express higher concentrations of EZH2 show a poorer prognosis. Thus, dysregulated expression of EZH2 may be involved in the progression of prostate cancer, as well as being a marker that distinguishes indolent prostate cancer from those at risk of lethal Progression. [PMID:12374981]",LOINC code not in cited specimen type: 96964-2|EZH2 gene mutations found in blood or tissue by molecular genetics method Nomina,EZH2
150,A0280,UPKB:P15090,"Fatty acid-binding protein, adipocyte (FABP4)",increased FABP4 level,risk,blood (UN:0000178),,breast cancer (DOID:1612),protein,"Using clinical samples, we demonstrated that circulating A-FABP levels were significantly increased in obese patients with breast cancer in comparison with those without breast cancer. Collectively, these data suggest circulating A-FABP as a new link between obesity and breast cancer risk, thereby revealing A-FABP as a potential new therapeutic target for treatment of obesity-associated cancers. [PMID:30100196]",,FABP4
